with,without
7.648559641875327,4.766906775273383
7.641407416090369,4.940742440931499
7.840380507707596,4.8431799468025565
7.879615591056645,4.6709097155556085
7.956874593533575,4.929362567700446
7.860784236416221,4.916205510944128
7.8634341572225095,4.990819443166256
7.806852179430425,4.693550136238336
7.70808658156544,4.592680646032095
7.537461902871728,4.787441672384739
7.731728587150574,4.8678895248845215
7.585720260106027,4.585934695228934
7.708402082324028,4.907128589749337
7.989987384602427,4.641121185608208
7.733823482692242,4.868212182447314
7.577656452953815,4.869493726603687
7.555491698458791,4.552839218378067
7.746627052910626,4.966913053579629
7.783170585669577,4.954902908392251
7.98154677156359,4.994584028795361
7.855239934250712,4.525345404408872
7.861559336706996,4.987602800093591
7.596817482039333,4.805092985145747
7.583535383157432,4.812310815416277
7.7169976384192704,4.971683735474944
7.655908796004951,4.672944866791368
7.955184371583163,4.697332030273974
7.904127368070185,4.610315225496888
7.757157657518983,4.847357792556286
7.993380116708576,4.724749478287995
7.605818681232631,4.702858355492354
7.618918863199651,4.992410523854196
7.787705757096409,4.917519161701202
7.902773346938193,4.664849244840443
7.6110817794874315,4.682524814940989
7.856443440429866,4.578948353342712
7.5371847450733185,4.6503814907744525
7.793623072728515,4.567916889674962
7.8983539936319,4.85929485950619
7.602307021543384,4.5318983072415
7.856723640300333,4.666029005423188
7.5810377215221525,4.658197393752634
7.542277462482453,4.533498775325715
7.708808291144669,4.97919430449605
7.73778358861804,4.561657578311861
7.855863446369767,4.647899990566075
7.973264449313283,4.551878294087946
7.594032905064523,4.729627919942141
7.665581838600337,4.793901324421167
7.768967410512269,4.868622114956379
7.557776119448245,4.915238650366664
7.802383128926158,4.646425550654531
7.793754445761442,4.942788318768144
7.5960318396613005,4.640638441406191
7.8409893299266695,4.664458546005189
7.635917581990361,4.540632951296866
7.837403641156852,4.778044590763748
7.95348188713193,4.630749343745411
7.697666985429823,4.72165202409029
7.591061911769211,4.770840040445328
7.640121785700321,4.668618970140815
